pearson_r,spearman_r,slope
-0.34537873144029435,-0.20579234972677593,-3.466871784147777
-0.3129044744862877,-0.10135938827527613,-3.051764451070179
-0.32294061423797266,-0.12367744562409981,-3.027178000739332
-0.2786108340361558,-0.0567970318107171,-2.8022058261221754
-0.45088945748263254,-0.19245938899659068,-4.655539734347551
-0.06213091465055052,0.09819805026971472,-0.5176686229204259
-0.4413350615521488,-0.18063583815028902,-4.162284471678845
-0.40240424210478837,-0.23091290584710916,-4.048123002613803
-0.24763243755228223,-0.020973841885763893,-2.2258585840826615
-0.4017581545172935,-0.23391567838036423,-4.153947917728648
-0.4321940175930311,-0.25005316401859223,-4.246809282540813
-0.2199751101003925,0.022132332397993268,-1.985609065173587
-0.3849457501023498,-0.16010505055406285,-3.6674783440946563
-0.3134038528628692,-0.08525492626551708,-3.0017550622563447
-0.42526323608719907,-0.23414601530540916,-4.137741091142033
-0.49269791924335066,-0.2883257544941808,-5.027917649741736
-0.44106252157039,-0.23604467645987615,-4.4314597354989615
-0.34922418889587786,-0.15643674883362554,-3.2806457096866835
-0.3500591110968572,-0.08808756460930373,-3.468148967070762
-0.3819243528376903,-0.20534890496770744,-3.668588405028739
-0.16744021466288203,0.07642652700809938,-1.4234591020787442
-0.3747898526558693,-0.18504482180599086,-3.4337597164022315
-0.4618442620124138,-0.21856194703699883,-4.693826552186473
-0.4552955147610218,-0.1833497429165299,-4.402072968384279
-0.25443720598393377,-0.011613012887833958,-2.341995159379169
-0.579204560713072,-0.3568796478980118,-5.966174965792697
-0.2922775321003117,-0.0837170643515401,-2.6494323384506697
-0.3381568335804651,-0.14268175574653263,-3.0776498465031388
-0.576973509739061,-0.42838530568509753,-6.356517693104722
-0.26494693740293535,-0.09232722435169269,-2.3775203296886085
-0.06876639588846166,0.1510167336784287,-0.5857063724943027
-0.3067610436374604,-0.059886525683424854,-2.8556757964557007
-0.4184162259921999,-0.16245561860832097,-4.086781083922929
-0.5308361325164827,-0.33333333333333326,-5.613687891561996
-0.4870645799537704,-0.3209358783722271,-4.952977971658301
-0.04313681735820736,0.1080411643347919,-0.34919647397169257
-0.5068557161129068,-0.2918689357255257,-4.957473103523252
-0.3843344288499231,-0.17187016438805047,-3.6292853379558148
-0.3414052296350631,-0.21163645197534242,-3.4155991646218147
-0.2801169925004598,-0.043795664769725066,-2.4900918393418885
-0.4403555381201133,-0.24750426101777454,-4.4696860203273365
-0.4898345110088003,-0.28618003654886437,-5.003072693810659
